Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-08-10,12:30,Matchweek 1,Sat,Away,W,5,0,West Ham,3.2,1.1,57,"59,870",David Silva,4-3-3,4-2-3-1,Mike Dean,Match Report,
2019-08-17,17:30,Matchweek 2,Sat,Home,D,2,2,Tottenham,2.9,0.1,55,"54,503",Kevin De Bruyne,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2019-08-25,14:00,Matchweek 3,Sun,Away,W,3,1,Bournemouth,3.0,2.2,74,"10,486",David Silva,4-3-3,5-4-1,Andre Marriner,Match Report,
2019-08-31,15:00,Matchweek 4,Sat,Home,W,4,0,Brighton,1.9,0.9,53,"54,386",David Silva,4-3-3,3-4-3,Jonathan Moss,Match Report,
2019-09-14,17:30,Matchweek 5,Sat,Away,L,2,3,Norwich City,2.3,1.5,68,"27,035",David Silva,4-2-3-1,4-2-3-1,Kevin Friend,Match Report,
2019-09-21,15:00,Matchweek 6,Sat,Home,W,8,0,Watford,5.9,0.4,68,"54,273",David Silva,4-3-3,4-4-1-1,Mike Dean,Match Report,
2019-09-28,17:30,Matchweek 7,Sat,Away,W,3,1,Everton,2.8,2.4,63,"39,222",Fernandinho,4-3-3,4-2-3-1,Michael Oliver,Match Report,
2019-10-06,14:00,Matchweek 8,Sun,Home,L,0,2,Wolves,1.4,1.0,75,"54,435",David Silva,4-2-3-1,3-5-2,Craig Pawson,Match Report,
2019-10-19,17:30,Matchweek 9,Sat,Away,W,2,0,Crystal Palace,3.5,0.9,71,"25,480",David Silva,4-3-3,4-5-1,Anthony Taylor,Match Report,
2019-10-26,12:30,Matchweek 10,Sat,Home,W,3,0,Aston Villa,2.9,1.0,63,"54,506",David Silva,4-3-3,4-1-4-1,Graham Scott,Match Report,
2019-11-02,15:00,Matchweek 11,Sat,Home,W,2,1,Southampton,2.9,0.9,75,"53,922",David Silva,4-3-3,5-3-2,Lee Mason,Match Report,
2019-11-10,16:30,Matchweek 12,Sun,Away,L,1,3,Liverpool,1.3,1.1,55,"53,324",Fernandinho,4-2-3-1,4-3-3,Michael Oliver,Match Report,
2019-11-23,17:30,Matchweek 13,Sat,Home,W,2,1,Chelsea,1.0,0.9,47,"54,486",David Silva,4-3-3,4-3-3,Martin Atkinson,Match Report,
2019-11-30,12:30,Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,2.4,0.3,75,"49,937",David Silva,4-3-3,5-4-1,Chris Kavanagh,Match Report,
2019-12-03,20:15,Matchweek 15,Tue,Away,W,4,1,Burnley,2.2,0.6,75,"20,101",David Silva,4-3-3,4-4-1-1,Jonathan Moss,Match Report,
2019-12-07,17:30,Matchweek 16,Sat,Home,L,1,2,Manchester Utd,2.2,1.4,72,"54,403",David Silva,4-3-3,4-2-3-1,Anthony Taylor,Match Report,
2019-12-15,16:30,Matchweek 17,Sun,Away,W,3,0,Arsenal,1.3,0.5,57,"60,031",Fernandinho,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,
2019-12-21,17:30,Matchweek 18,Sat,Home,W,3,1,Leicester City,3.3,1.1,62,"54,415",Fernandinho,4-2-3-1,4-1-4-1,Mike Dean,Match Report,
2019-12-27,19:45,Matchweek 19,Fri,Away,L,2,3,Wolves,1.5,2.6,38,"31,737",Fernandinho,4-2-3-1,3-4-3,Martin Atkinson,Match Report,
2019-12-29,18:00,Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,1.1,1.1,72,"54,512",Fernandinho,4-3-3,3-5-2,Chris Kavanagh,Match Report,
2020-01-01,17:30,Matchweek 21,Wed,Home,W,2,1,Everton,1.5,1.0,65,"54,407",Fernandinho,3-4-3,3-5-2,Andre Marriner,Match Report,
2020-01-12,16:30,Matchweek 22,Sun,Away,W,6,1,Aston Villa,2.8,1.1,70,"41,823",David Silva,4-3-3,5-3-2,Jonathan Moss,Match Report,
2020-01-18,15:00,Matchweek 23,Sat,Home,D,2,2,Crystal Palace,2.6,0.4,72,"54,439",David Silva,4-3-3,4-5-1,Graham Scott,Match Report,
2020-01-21,19:30,Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,2.8,0.8,66,"31,285",Fernandinho,3-4-3,3-5-2,Lee Mason,Match Report,
2020-02-02,16:30,Matchweek 25,Sun,Away,L,0,2,Tottenham,2.4,0.3,67,"61,022",Fernandinho,4-3-3,4-2-3-1,Mike Dean,Match Report,
2020-02-19,19:30,Matchweek 26,Wed,Home,W,2,0,West Ham,2.1,0.1,77,"52,159",David Silva,4-3-3,5-3-2,Kevin Friend,Match Report,
2020-02-22,17:30,Matchweek 27,Sat,Away,W,1,0,Leicester City,2.4,0.8,67,"32,068",Fernandinho,4-3-3,3-5-2,Paul Tierney,Match Report,
2020-03-08,16:30,Matchweek 29,Sun,Away,L,0,2,Manchester Utd,0.6,1.6,72,"73,288",Fernandinho,4-3-3,3-4-1-2,Mike Dean,Match Report,
2020-06-17,20:15,Matchweek 28,Wed,Home,W,3,0,Arsenal,2.6,0.3,67,,David Silva,4-3-3,4-3-2-1,Anthony Taylor,Match Report,
