Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-12-07,15:00,Matchweek 15,Sat,Away,D,2,2,Crystal Palace,1.4,1.3,68,"25,142",Kyle Walker,4-2-3-1,3-4-3,Robert Jones,Match Report,
2024-12-04,19:30,Matchweek 14,Wed,Home,W,3,0,Nott'ham Forest,2.4,1.0,66,"51,764",Kevin De Bruyne,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2024-12-01,16:00,Matchweek 13,Sun,Away,L,0,2,Liverpool,0.8,3.4,56,"60,248",Kyle Walker,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,
2024-11-23,17:30,Matchweek 12,Sat,Home,L,0,4,Tottenham,2.1,2.5,58,"52,478",Kyle Walker,4-3-3,4-3-3,John Brooks,Match Report,
2024-11-09,17:30,Matchweek 11,Sat,Away,L,1,2,Brighton,2.1,2.3,60,"31,715",Kyle Walker,4-1-4-1,4-4-2,Samuel Barrott,Match Report,
2024-11-02,15:00,Matchweek 10,Sat,Away,L,1,2,Bournemouth,1.6,2.0,64,"11,231",Kyle Walker,4-1-4-1,4-2-3-1,Michael Oliver,Match Report,
2024-10-26,15:00,Matchweek 9,Sat,Home,W,1,0,Southampton,2.9,0.2,57,"52,844",Rúben Dias,4-1-4-1,5-4-1,Tony Harrington,Match Report,
2024-10-20,14:00,Matchweek 8,Sun,Away,W,2,1,Wolves,1.6,0.8,77,"31,319",Rúben Dias,4-1-4-1,3-5-2,Chris Kavanagh,Match Report,
2024-10-05,15:00,Matchweek 7,Sat,Home,W,3,2,Fulham,1.6,2.6,58,"53,017",Rúben Dias,4-1-4-1,5-4-1,Peter Bankes,Match Report,
2024-09-28,12:30,Matchweek 6,Sat,Away,D,1,1,Newcastle Utd,0.9,1.6,62,"52,248",Kyle Walker,4-2-3-1,4-3-3,Jarred Gillett,Match Report,
2024-09-22,16:30,Matchweek 5,Sun,Home,D,2,2,Arsenal,2.1,0.7,77,"52,846",Kyle Walker,4-3-3,4-4-2,Michael Oliver,Match Report,
2024-09-14,15:00,Matchweek 4,Sat,Home,W,2,1,Brentford,2.1,1.0,54,"52,148",Kyle Walker,4-2-3-1,5-3-2,Darren Bond,Match Report,
2024-08-31,17:30,Matchweek 3,Sat,Away,W,3,1,West Ham,3.0,0.7,67,"62,469",Kevin De Bruyne,3-2-4-1,4-2-3-1,Michael Oliver,Match Report,
2024-08-24,15:00,Matchweek 2,Sat,Home,W,4,1,Ipswich Town,3.3,0.3,75,"53,147",Kevin De Bruyne,3-2-4-1,5-4-1,Samuel Allison,Match Report,
2024-08-18,16:30,Matchweek 1,Sun,Away,W,2,0,Chelsea,0.8,1.0,52,"39,818",Kevin De Bruyne,3-2-4-1,4-2-3-1,Anthony Taylor,Match Report,
2024-05-19,16:00,Matchweek 38,Sun,Home,W,3,1,West Ham,1.9,0.4,71,"55,097",Kyle Walker,4-1-4-1,3-4-3,John Brooks,Match Report,
2024-05-14,20:00,Matchweek 34,Tue,Away,W,2,0,Tottenham,2.4,1.7,47,"61,065",Kyle Walker,4-2-3-1,4-3-1-2,Chris Kavanagh,Match Report,
2024-05-11,12:30,Matchweek 37,Sat,Away,W,4,0,Fulham,3.2,0.1,64,"24,418",Kevin De Bruyne,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,
